mode	sample	dead	live	probe_rounds	probe_ns	checksum	action_ns	before_chunks	after_chunks	before_capacity_bytes	after_capacity_bytes	before_live_slots	after_live_slots	moved_cells	moved_bytes	action_status	fixed_status	fixed_ns
compact	0	32768	2048	1000	1965702625	4194304000	1215208	141	13	9240576	851968	6559	6559	4097	524416	compacted	no_candidates	243084
compact	1	32768	2048	1000	2108739208	4194304000	1103958	141	13	9240576	851968	6559	6559	4097	524416	compacted	no_candidates	248750
compact	2	32768	2048	1000	2178857125	4194304000	1069875	141	13	9240576	851968	6559	6559	4097	524416	compacted	no_candidates	252166
compact	3	32768	2048	1000	2059281208	4194304000	989750	141	13	9240576	851968	6559	6559	4097	524416	compacted	no_candidates	235916
compact	4	32768	2048	1000	1912156500	4194304000	952083	141	13	9240576	851968	6559	6559	4097	524416	compacted	no_candidates	229375
compact	5	32768	2048	1000	1971688000	4194304000	956958	141	13	9240576	851968	6559	6559	4097	524416	compacted	no_candidates	230834
compact	6	32768	2048	1000	1888640667	4194304000	977333	141	13	9240576	851968	6559	6559	4097	524416	compacted	no_candidates	245416
control	0	32768	2048	1000	1996813458	4194304000	213125	141	141	9240576	9240576	6559	6559	0	0	control	not_run	0
control	1	32768	2048	1000	1925391166	4194304000	229583	141	141	9240576	9240576	6559	6559	0	0	control	not_run	0
control	2	32768	2048	1000	2247451792	4194304000	279542	141	141	9240576	9240576	6559	6559	0	0	control	not_run	0
control	3	32768	2048	1000	2053296500	4194304000	248084	141	141	9240576	9240576	6559	6559	0	0	control	not_run	0
control	4	32768	2048	1000	1966929625	4194304000	302250	141	141	9240576	9240576	6559	6559	0	0	control	not_run	0
control	5	32768	2048	1000	1856872959	4194304000	211667	141	141	9240576	9240576	6559	6559	0	0	control	not_run	0
control	6	32768	2048	1000	1925659625	4194304000	211500	141	141	9240576	9240576	6559	6559	0	0	control	not_run	0
