variant	pair	engine	mode	workload	lanes	jobs	sample	elapsed_ns	checksum
parent	1	zig-js	shared	object_churn	1	100	0	101665083	1030552128
candidate	1	zig-js	shared	object_churn	1	100	0	101459833	1030552128
candidate	2	zig-js	shared	object_churn	1	100	0	101919958	1030552128
parent	2	zig-js	shared	object_churn	1	100	0	99549375	1030552128
parent	3	zig-js	shared	object_churn	1	100	0	100015084	1030552128
candidate	3	zig-js	shared	object_churn	1	100	0	100561834	1030552128
candidate	4	zig-js	shared	object_churn	1	100	0	100813583	1030552128
parent	4	zig-js	shared	object_churn	1	100	0	99900875	1030552128
parent	5	zig-js	shared	object_churn	1	100	0	98362417	1030552128
candidate	5	zig-js	shared	object_churn	1	100	0	100078042	1030552128
candidate	6	zig-js	shared	object_churn	1	100	0	99938666	1030552128
parent	6	zig-js	shared	object_churn	1	100	0	100962333	1030552128
parent	7	zig-js	shared	object_churn	1	100	0	99043666	1030552128
candidate	7	zig-js	shared	object_churn	1	100	0	100450416	1030552128
parent	1	zig-js	shared	object_churn	2	100	0	166349250	2066980992
candidate	1	zig-js	shared	object_churn	2	100	0	112393208	2066980992
candidate	2	zig-js	shared	object_churn	2	100	0	111773166	2066980992
parent	2	zig-js	shared	object_churn	2	100	0	168802292	2066980992
parent	3	zig-js	shared	object_churn	2	100	0	168034542	2066980992
candidate	3	zig-js	shared	object_churn	2	100	0	113166417	2066980992
candidate	4	zig-js	shared	object_churn	2	100	0	112146041	2066980992
parent	4	zig-js	shared	object_churn	2	100	0	165478125	2066980992
parent	5	zig-js	shared	object_churn	2	100	0	169410333	2066980992
candidate	5	zig-js	shared	object_churn	2	100	0	112552500	2066980992
candidate	6	zig-js	shared	object_churn	2	100	0	112821375	2066980992
parent	6	zig-js	shared	object_churn	2	100	0	172846917	2066980992
parent	7	zig-js	shared	object_churn	2	100	0	167924667	2066980992
candidate	7	zig-js	shared	object_churn	2	100	0	112017333	2066980992
parent	1	zig-js	shared	object_churn	4	100	0	268719667	4146563328
candidate	1	zig-js	shared	object_churn	4	100	0	147245416	4146563328
candidate	2	zig-js	shared	object_churn	4	100	0	138567417	4146563328
parent	2	zig-js	shared	object_churn	4	100	0	278447666	4146563328
parent	3	zig-js	shared	object_churn	4	100	0	285371000	4146563328
candidate	3	zig-js	shared	object_churn	4	100	0	141639875	4146563328
candidate	4	zig-js	shared	object_churn	4	100	0	141772292	4146563328
parent	4	zig-js	shared	object_churn	4	100	0	275013917	4146563328
parent	5	zig-js	shared	object_churn	4	100	0	268096792	4146563328
candidate	5	zig-js	shared	object_churn	4	100	0	155368000	4146563328
candidate	6	zig-js	shared	object_churn	4	100	0	140251917	4146563328
parent	6	zig-js	shared	object_churn	4	100	0	267799834	4146563328
parent	7	zig-js	shared	object_churn	4	100	0	272950875	4146563328
candidate	7	zig-js	shared	object_churn	4	100	0	142606000	4146563328
parent	1	zig-js	shared	object_churn	8	100	0	1720213542	8309369344
candidate	1	zig-js	shared	object_churn	8	100	0	1239637041	8309369344
candidate	2	zig-js	shared	object_churn	8	100	0	1273129500	8309369344
parent	2	zig-js	shared	object_churn	8	100	0	1512325000	8309369344
parent	3	zig-js	shared	object_churn	8	100	0	1512305708	8309369344
candidate	3	zig-js	shared	object_churn	8	100	0	1200500666	8309369344
candidate	4	zig-js	shared	object_churn	8	100	0	1243496583	8309369344
parent	4	zig-js	shared	object_churn	8	100	0	1580599750	8309369344
parent	5	zig-js	shared	object_churn	8	100	0	1473732000	8309369344
candidate	5	zig-js	shared	object_churn	8	100	0	1191520167	8309369344
candidate	6	zig-js	shared	object_churn	8	100	0	1293725500	8309369344
parent	6	zig-js	shared	object_churn	8	100	0	1863017167	8309369344
parent	7	zig-js	shared	object_churn	8	100	0	1542719625	8309369344
candidate	7	zig-js	shared	object_churn	8	100	0	1200707084	8309369344
