variant	lanes	sample	elapsed_ns	checksum
parent	1	0	137717500	1030552128
candidate	1	0	124729292	1030552128
candidate	1	1	126384958	1030552128
parent	1	1	123331375	1030552128
parent	1	2	121891167	1030552128
candidate	1	2	138549791	1030552128
candidate	1	3	135430291	1030552128
parent	1	3	139271167	1030552128
parent	1	4	136144083	1030552128
candidate	1	4	134931125	1030552128
candidate	1	5	134510667	1030552128
parent	1	5	150275583	1030552128
parent	1	6	140445875	1030552128
candidate	1	6	133706875	1030552128
parent	2	0	222117875	2066980992
candidate	2	0	183984792	2066980992
candidate	2	1	232135916	2066980992
parent	2	1	185857208	2066980992
parent	2	2	186381917	2066980992
candidate	2	2	190419375	2066980992
candidate	2	3	180274041	2066980992
parent	2	3	180526959	2066980992
parent	2	4	173924833	2066980992
candidate	2	4	182834042	2066980992
candidate	2	5	192488875	2066980992
parent	2	5	187481083	2066980992
parent	2	6	197668167	2066980992
candidate	2	6	187012167	2066980992
parent	4	0	481334208	4146563328
candidate	4	0	327087667	4146563328
candidate	4	1	295028083	4146563328
parent	4	1	510183042	4146563328
parent	4	2	425991709	4146563328
candidate	4	2	304527417	4146563328
candidate	4	3	391408792	4146563328
parent	4	3	366454250	4146563328
parent	4	4	303388834	4146563328
candidate	4	4	325029667	4146563328
candidate	4	5	338094709	4146563328
parent	4	5	419468042	4146563328
parent	4	6	549455750	4146563328
candidate	4	6	445420208	4146563328
parent	8	0	2122534000	8309369344
candidate	8	0	2701571708	8309369344
candidate	8	1	2138731916	8309369344
parent	8	1	2221066500	8309369344
parent	8	2	2851968750	8309369344
candidate	8	2	2704652833	8309369344
candidate	8	3	1811560375	8309369344
parent	8	3	1801152292	8309369344
parent	8	4	1713103958	8309369344
candidate	8	4	1695128000	8309369344
candidate	8	5	1892825750	8309369344
parent	8	5	1674251834	8309369344
parent	8	6	2228828458	8309369344
candidate	8	6	2158616458	8309369344
